"행정구역(시군구)별",2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"전국",578011,578011,0,227347,161023,161023,189641,189641,541077,541077,0,210589,151682,151682,178806,178806,543286,543286,0,212217,153390,153390,177679,177679
"서울특별시",124132,130722,-6590,40853,47407,47407,35872,42462,115236,121281,-6045,37233,43703,43703,34300,40345,113098,121341,-8243,36411,43168,43168,33519,41762
"종로구",2389,2048,341,417,1293,1045,679,586,2214,2079,135,359,1219,1114,636,606,2306,1919,387,353,1314,947,639,619
"중구",1504,1548,-44,265,773,842,466,441,1533,1630,-97,303,725,871,505,456,1391,1448,-57,253,718,785,420,410
"용산구",2873,3132,-259,705,1252,1445,916,982,2877,2848,29,676,1294,1263,907,909,2645,2790,-145,534,1288,1320,823,936
"성동구",3901,3787,114,914,1908,1769,1079,1104,3654,3504,150,870,1818,1614,966,1020,3649,3569,80,811,1835,1558,1003,1200
"광진구",4586,4871,-285,1450,1811,1867,1325,1554,4445,4410,35,1328,1764,1610,1353,1472,4282,4184,98,1315,1709,1457,1258,1412
"동대문구",3793,4301,-508,1140,1573,1783,1080,1378,3766,4105,-339,1220,1507,1612,1039,1273,3574,3961,-387,1068,1480,1623,1026,1270
"중랑구",5059,5150,-91,2201,1789,1430,1069,1519,5568,5112,456,2331,2109,1325,1128,1456,4677,4454,223,1830,1794,1184,1053,1440
"성북구",4806,5403,-597,1660,1981,2288,1165,1455,4415,5094,-679,1476,1772,2132,1167,1486,4078,4562,-484,1257,1786,1932,1035,1373
"강북구",3898,4106,-208,1514,1621,1509,763,1083,3649,3616,33,1252,1562,1371,835,993,3278,3652,-374,1188,1360,1376,730,1088
"도봉구",3687,3935,-248,1301,1510,1319,876,1315,3503,3543,-40,1130,1472,1254,901,1159,3538,3694,-156,1118,1517,1377,903,1199
"노원구",5177,6108,-931,2055,1774,1931,1348,2122,4837,6359,-1522,2014,1531,2290,1292,2055,4952,6434,-1482,1993,1612,2164,1347,2277
"은평구",5948,6598,-650,2618,1879,1757,1451,2223,5345,6103,-758,2313,1643,1593,1389,2197,5379,6131,-752,2417,1595,1505,1367,2209
"서대문구",4058,4348,-290,1083,1816,1964,1159,1301,3849,3705,144,854,1825,1667,1170,1184,3581,3713,-132,823,1683,1707,1075,1183
"마포구",4822,5150,-328,1297,1997,2331,1528,1522,4474,4958,-484,1213,1833,2245,1428,1500,4363,4711,-348,1066,1874,2046,1423,1599
"양천구",4251,5258,-1007,1349,1758,2098,1144,1811,4218,4768,-550,1304,1687,1842,1227,1622,4159,4561,-402,1260,1687,1695,1212,1606
